Sr. No.,District,Name of Dam,Type of Dam,Operational / Non-Operational,"Height
(ft)","Completion Cost
(million)","Gross Storage Capacity
(Aft)","Live storage
(Aft)","C.C.A.
(Acres)","Capacity of Channel
(Cfs)","Length of Canal
(ft)","DSL
(ft)","NPL
(ft)","HFL
(ft)",River / Nullah,Year of Completion,"Catchment Area
(Sq. Km)",Latitude,Longitude
37,Attock,Qibla Bandi ,Concrete,Operational,72,1.49,3650,2200,850,6,13150,1223,1240,1245,Qibla Bandi Kas,1971,22.01,33.887928,72.580842
38,Attock,Shahpur ,Concrete,Operational,85,36.5,14320,4128,1250,15,39442,1452.5,1458.3,1468.35,Nandana Kas,1986,203.94,33.619272,72.674889
39,Attock,Mirwal ,Concrete,Operational,60,42.229,3765,2726,1050,11,16949,1295,1313,1317,Mirwal Kas,1990,37.55,33.471997,72.326686
40,Attock,Jabbi ,Concrete,Operational,71.5,44.63,3079,1971,1495,15.75,24182,1249.2,1265.4,1272.6,Jabbi Kas,1991,35.3,33.475906,72.221603
41,Attock,Shakar Dara ,Concrete,Operational,115,186.08,5711,2081,4200,46.22,122866,1151.65,1187.64,1196.87,Shakardara Kas,1994,155.58,33.694181,72.322767
42,Attock,Thatti Syedan,Concrete,Operational,42.65,39.119,600,350,300,3.75,10000,1286.07,1292.63,1290.35,Thatti Sayedan Kas,2005,11.66,33.429947,72.210986
43,Attock,Sawal ,Earthfill,Operational,95,103.44,2400,1720,930,9.5,37000,1358,1381,1385.75,Sawal Dam,2005,16.75,33.25285,72.581208
44,Attock,Talikna ,Earthfill,Operational,57.87,99.612,2050,1350,1000,7,15000,1374.65,1389.41,1393.38,Talikana wala Nullah,2005,12,33.57185,72.266622
45,Attock,Jabba ,Earthfill,Operational,83.6,43.539,860,515,400,3.75,7800,1189,1205.4,1209.5,Jabba Kas,2005,9,33.329908,71.903111
46,Attock,Jalwal ,Earthfill,Non-Operational,60,100.13,5000,2820,2364,23,40000,951,964.5,967,Basal Kas,2005,9,33.552981,72.019444
47,Attock,Basal ,Earthfill,Operational,65,31.685,1700,538,500,4.25,11500,1373.5,1394.39,1397.62,Haji Shah Nullagh/ Chel Kas,2004,15.5,33.565744,72.299281
48,Attock,Haji Shah ,Earthfill,Operational,66,191.729,2200,1600,1520,13.75,25250,1022,1040,1043,Jammargal Kas,2015,32,33.880639,72.319056
49,Attock,Sowrra,Earthfill,Operational,100,866.222,4224,2024,2300,21,31900,1042,1072,1079,Sankhi Kas,2020,16.75,33.261064,72.156275
50,Jhelum,Garat  ,Concrete,Operational,66,14.31,2228,1763,638,6,16526,922.5,951,955.5,Garat Kas Tributary of Kahan River,1982,14.01,33.018819,73.516033
51,Jhelum,Jammargal  ,Earthfill,Operational,53.48,22.98,2432,1650,925,6.5,15840,879.25,890.81,897,Jammargal Kas Tributary of Jhelum River ,1992,15,32.744642,73.530272
52,Jhelum,Tain Pura I ,Concrete,Operational,92.5,108.15,5941,5775,3410,30,69326,959,1000,1007,Tainpura Kas Tributary of Kahan River,1994,35.5,33.057058,73.516033
53,Jhelum,Tain Pura II,Concrete,Operational,85.75,108.15,3395,1211,3410,30,69326,989,1018,1021,Tainpura Kas Tributary of Kahan River,1994,9.2,33.06875,73.533125
54,Jhelum,Lehri ,Earthfill,Operational,109,123.714,5705,4595,2220,30,37000,959,1000,1007,Basli Nullah Tributary of Kahan River,2005,3.9,33.109053,73.407692
55,Jhelum,Salial ,Earthfill,Operational,68,43.4,527,417,372,4,8550,1118.75,1147,1153,Potha Tributary of Jhelum River ,2005,16.5,32.878211,73.516033
56,Jhelum,Pindori ,Concrete,Operational,147,954.874,3795,2344,1700,10,17300,984,1013.5,1026.63,Potha Kas Tributary of Jhelum River ,2022,26.42,33.102617,73.604469
57,Jhelum,Shah Habib,Earthfill,Non-Operational,77.14,40.58,1655,536,450,3,18000,902,918.4,920.43,Local Nullah Jammargal Kas Tributary of Jhelum River ,2008,3.5,32.577778,73.7875
58,Jhelum,Fatehpur ,Earthfill,Non-Operational,86.5,42.911,1733,1534,315,3,22000,1537,1543,1547,Nabnawala Kas Tributary of Bunha River,2008,3.5,32.066389,73.501667
59,Jhelum,Domeli ,Earthfill,Operational,120,320.537,8690,4636,3000,22,28000,1153,1175,1188,Nuli and Pamal Nullah Tributary of Kahan River,2007,170,33.022969,73.327214
60,Jhelum,Gurah Uttam ,Earthfill,Operational,94,158.296,2679,1030,1500,12.25,30000,1373,1391,1400,Sore Kas Tributary of Kahan River,2008,35.5,32.969867,73.239006
